player_name,url,position,shoots,height,weight_lb,weight_kg,height_cm,birthdate,birthplace,college,high_school,draft,nba_debut,games,points,rebounds,assists,fg_percentage,fg3_percentage,ft_percentage,efg_percentage
Freddie Boyd,https://www.basketball-reference.com/players/b/boydfr01.html,"Point Guard and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Left","Position:
  
  Point Guard and Shooting Guard


  
  ▪
  
  
  
  
  Left",,,,,,"Bakersfield, California
us",Oregon State,"East Bakersfield in Bakersfield, California","Philadelphia 76ers, 1st round (5th pick, 5th overall), 1972 NBA Draft","October 10, 1972",327,8.5,1.6,3.0,41.4,,66.7,
Ken Boyd,https://www.basketball-reference.com/players/b/boydke01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Frederick, Maryland
us",Boston University,"Frederick in Frederick, Maryland","New Orleans Jazz, 9th round (10th pick, 154th overall), 1974 NBA Draft","October 19, 1974",6,3.2,0.8,0.3,53.8,,45.5,
Earl Boykins,https://www.basketball-reference.com/players/b/boykiea01.html,"Point Guard and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard and Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Cleveland, Ohio
us",Eastern Michigan,"Central Catholic in Cleveland, Ohio",,"February 7, 1999",652,8.9,1.3,3.2,41.7,,87.6,45.5
Harry Boykoff,https://www.basketball-reference.com/players/b/boykoha01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center


  
  ▪
  
  
  
  
  Right",,,,,,"Brooklyn, New York
us",St. John's,"Thomas Jefferson in Brooklyn, New York",,"November 2, 1949",109,10.1,4.6,1.9,40.0,,76.5,
Winford Boynes,https://www.basketball-reference.com/players/b/boynewi01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Greenville, South Carol",San Francisco,"Capitol Hill in Oklahoma City, Oklahoma","New Jersey Nets, 1st round (13th pick, 13th overall), 1978 NBA Draft","October 13, 1978",177,8.4,2.1,1.2,43.5,,78.3,43.5
Cedric Bozeman,https://www.basketball-reference.com/players/b/bozemce01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Los Angeles, California
us",UCLA,"Mater Dei in Santa Ana, California",,"November 1, 2006",23,1.1,1.0,0.4,28.2,,33.3,30.8
Steve Bracey,https://www.basketball-reference.com/players/b/bracest01.html,"Point Guard and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard and Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Brooklyn, New York
us",Tulsa,"Midwood in Brooklyn, New York","Atlanta Hawks, 2nd round (8th pick, 21st overall), 1972 NBA Draft","October 10, 1972",187,6.1,1.6,2.2,46.6,,68.4,
Craig Brackins,https://www.basketball-reference.com/players/b/brackcr01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Los Angeles, California
us",Iowa State,"Brewster Academy in Wolfeboro, New Hampshire","Oklahoma City Thunder, 1st round (21st pick, 21st overall), 2010 NBA Draft","November 24, 2010",17,1.8,1.1,0.5,26.5,,50.0,29.6
Gary Bradds,https://www.basketball-reference.com/players/b/braddga01.html,"Power Forward and Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward and Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Jamestown, Ohio
us",Ohio State,"Greeneview in Jamestown, Ohio","Baltimore Bullets, 1st round (3rd pick, 3rd overall), 1964 NBA Draft","October 17, 1964 ▪ ABA Debut: December 7, 1967",254,12.2,5.5,0.9,47.5,,79.8,47.5
Alex Bradley,https://www.basketball-reference.com/players/b/bradlal02.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Bradenton, Florida
us",Villanova,"Long Branch in Long Branch, New Jersey","New York Knicks, 4th round (17th pick, 86th overall), 1981 NBA Draft","November 3, 1981",39,3.5,1.7,0.3,52.4,,60.4,52.4
Alonzo Bradley,https://www.basketball-reference.com/players/b/bradlal01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Utica, Mississippi
us",Texas Southern,"Hinds County Agricultural in Utica, Mississippi","Indiana Pacers, 2nd round (7th pick, 29th overall), 1977 NBA Draft","December 26, 1977",99,4.4,1.5,0.7,41.8,,70.3,41.9
Avery Bradley,https://www.basketball-reference.com/players/b/bradlav01.html,"Shooting Guard and Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard and Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Tacoma, Wash",Texas,"Findlay Prep in Henderson, Nevada","Boston Celtics, 1st round (19th pick, 19th overall), 2010 NBA Draft","November 22, 2010",660,11.0,2.8,1.7,43.4,,78.3,49.8
Bill Bradley,https://www.basketball-reference.com/players/b/bradlbi02.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,,Tennessee State,"Central in Louisville, Kentucky",,,58,3.8,0.8,0.9,31.8,,91.1,32.4
Bill Bradley,https://www.basketball-reference.com/players/b/bradlbi01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Crystal City, Missouri
us",Princeton,"Crystal City in Crystal City, Missouri","New York Knicks, 1st round (2nd pick, 2nd overall), 1965 NBA Draft (territorial selection)","December 9, 1967",742,12.4,3.2,3.4,44.8,,84.0,
Charles Bradley,https://www.basketball-reference.com/players/b/bradlch01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Havre De Grace, Maryland
us",Wyoming,"Edgewood in Edgewood, Maryland","Boston Celtics, 1st round (23rd pick, 23rd overall), 1981 NBA Draft","October 30, 1981",110,3.2,1.1,0.5,41.6,,58.5,41.6
Dudley Bradley,https://www.basketball-reference.com/players/b/bradldu01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Baltimore, Maryland
us",UNC,"Edgewood in Edgewood, Maryland","Indiana Pacers, 1st round (13th pick, 13th overall), 1979 NBA Draft","October 12, 1979",600,5.2,1.8,1.9,44.0,,73.0,45.8
Jim Bradley,https://www.basketball-reference.com/players/b/bradlji01.html,"Power Forward and Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward and Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"East Chicago, Indiana
us",Northern Illinois,"Roosevelt in East Chicago, Indiana","Los Angeles Lakers, 3rd round (12th pick, 48th overall), 1974 NBA Draft",,98,7.0,5.4,1.3,42.9,,72.7,42.9
Joe Bradley,https://www.basketball-reference.com/players/b/bradljo01.html,"Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Guard


  
  ▪
  
  
  
  
  Right",,,,,,Wash,Oklahoma State,"Cowden in Cowden, Oklahoma",,"November 1, 1949",46,1.9,-,0.8,26.9,,39.5,
Michael Bradley,https://www.basketball-reference.com/players/b/bradlmi01.html,"Power Forward and Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward and Center


  
  ▪
  
  
  
  
  Right",,,,,,"Worcester, Massachusetts
us",,"Burncoat in Worcester, Massachusetts","Toronto Raptors, 1st round (17th pick, 17th overall), 2001 NBA Draft","October 30, 2001",173,2.8,3.4,0.5,47.7,,51.1,47.9
Shawn Bradley,https://www.basketball-reference.com/players/b/bradlsh01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center


  
  ▪
  
  
  
  
  Right",,,,,,"Landstuhl, Germany
de",BYU,"Emery County in Castle Dale, Utah","Philadelphia 76ers, 1st round (2nd pick, 2nd overall), 1993 NBA Draft","November 5, 1993",832,8.1,6.3,0.7,45.7,,71.6,45.7
Tony Bradley,https://www.basketball-reference.com/players/b/bradlto01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center


  
  ▪
  
  
  
  
  Right",,,,,,"Bartow, Florida
us",UNC,"Bartow in Bartow, Florida","Los Angeles Lakers, 1st round (28th pick, 28th overall), 2017 NBA Draft","November 5, 2017",179,4.4,4.1,0.5,63.1,,68.1,63.7
Mark Bradtke,https://www.basketball-reference.com/players/b/bradtma01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center


  
  ▪
  
  
  
  
  Right",,,,,,"Adelaide, Australia
au",,"Redcliffe in Redcliffe, Australia",,"November 9, 1996",36,1.6,1.9,0.2,43.1,,69.2,43.1
Marques Bragg,https://www.basketball-reference.com/players/b/braggma01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"East Orange, New Jersey
us",Providence,"Clifford J. Scott in East Orange, New Jersey",,"November 3, 1995",53,2.5,1.5,0.2,45.0,,56.1,45.0
Torraye Braggs,https://www.basketball-reference.com/players/b/braggto01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Fresno, California
us",Xavier,"Edison in Fresno, California","Utah Jazz, 2nd round (28th pick, 57th overall), 1998 NBA Draft","October 30, 2003",22,2.1,2.3,0.3,47.5,,66.7,47.5
A.J. Bramlett,https://www.basketball-reference.com/players/b/bramlaj01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center


  
  ▪
  
  
  
  
  Right",,,,,,"Dekalb, Ill",Arizona,"La Cueva in Albuquerque, New Mexico","Cleveland Cavaliers, 2nd round (10th pick, 39th overall), 1999 NBA Draft","December 7, 1999",8,1.0,2.8,0.0,19.0,,-,19.0
Adrian Branch,https://www.basketball-reference.com/players/b/brancad01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,Wash,Maryland,"DeMatha Catholic in Hyattsville, Maryland","Chicago Bulls, 2nd round (22nd pick, 46th overall), 1985 NBA Draft","November 4, 1986",130,6.4,1.9,0.7,45.5,,74.4,46.1
Elton Brand,https://www.basketball-reference.com/players/b/brandel01.html,"Power Forward and Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward and Center


  
  ▪
  
  
  
  
  Right",,,,,,"Cortlandt Manor, New York
us",Duke,"Peekskill in Peekskill, New York","Chicago Bulls, 1st round (1st pick, 1st overall), 1999 NBA Draft","November 3, 1999",1058,15.9,8.5,2.1,50.0,,73.6,50.1
Terrell Brandon,https://www.basketball-reference.com/players/b/brandte01.html,"Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Portland, Oregon
us",Oregon,"Grant in Portland, Oregon","Cleveland Cavaliers, 1st round (11th pick, 11th overall), 1991 NBA Draft","November 1, 1991",724,13.8,3.0,6.1,44.8,,87.3,47.1
Malaki Branham,https://www.basketball-reference.com/players/b/branhma01.html,"Shooting Guard and Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard and Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Columbus, Ohio
us",Ohio State,"St. Vincent-St. Mary in Akron, Ohio","San Antonio Spurs, 1st round (20th pick, 20th overall), 2022 NBA Draft","October 30, 2022",162,9.2,2.2,1.9,43.6,,85.0,50.6
Bob Brannum,https://www.basketball-reference.com/players/b/brannbo01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,W,,"Winfield in Winfield, Kansas",,"November 1, 1949",338,7.3,7.0,2.1,34.4,,65.2,
Brad Branson,https://www.basketball-reference.com/players/b/bransbr01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Harvey, Ill",SMU,"North in Fort Myers, Florida","Detroit Pistons, 2nd round (22nd pick, 45th overall), 1980 NBA Draft","March 31, 1982",72,5.4,2.9,0.7,42.2,,72.5,42.2
Jesse Branson,https://www.basketball-reference.com/players/b/bransje01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,Burl,Elon University,"Holt in Burlington, North Carolina","Philadelphia 76ers, 2nd round (5th pick, 16th overall), 1965 NBA Draft","October 16, 1965 ▪ ABA Debut: October 19, 1967",83,13.1,6.6,0.8,42.7,,70.2,42.8
Jarrell Brantley,https://www.basketball-reference.com/players/b/brantja01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Charleston, South Carol",College of Charleston,"Notre Dame Prep in Fitchburg, Massachusetts","Indiana Pacers, 2nd round (20th pick, 50th overall), 2019 NBA Draft","October 25, 2019",41,2.7,1.3,0.7,45.7,,83.3,55.9
Jim Brasco,https://www.basketball-reference.com/players/b/brascji01.html,"Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Brooklyn, New York
us",NYU,"Abraham Lincoln in Brooklyn, New York","Syracuse Nationals, 2nd round, 1952 NBA Draft","November 1, 1952",20,3.9,1.2,1.1,26.6,,79.4,
Mike Bratz,https://www.basketball-reference.com/players/b/bratzmi01.html,"Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Lompoc, California
us",Stanford,"Lompoc in Lompoc, California","Phoenix Suns, 3rd round (22nd pick, 66th overall), 1977 NBA Draft","October 18, 1977",586,7.0,1.8,3.2,40.7,,83.0,42.6
Carl Braun,https://www.basketball-reference.com/players/b/braunca01.html,"Point Guard and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard and Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Brooklyn, New York
us",Colgate,"Garden City in Garden City, New York",,"November 13, 1947",788,13.5,3.4,3.7,38.3,,80.4,
Christian Braun,https://www.basketball-reference.com/players/b/braunch01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,Burl,Kansas,"Blue Valley Northwest HS in Overland Park, Kansas","Denver Nuggets, 1st round (21st pick, 21st overall), 2022 NBA Draft","October 19, 2022",185,7.2,3.4,1.3,49.1,,70.4,55.0
Ignas Brazdeikis,https://www.basketball-reference.com/players/b/brazdig01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Left","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Left",,,,,,"Kaunas, Lithuania
lt",Michigan,"Orangeville Prep in Mono, Canada","Sacramento Kings, 2nd round (17th pick, 47th overall), 2019 NBA Draft","November 3, 2019",64,5.0,1.9,0.9,41.6,,68.6,48.3
Tim Breaux,https://www.basketball-reference.com/players/b/breauti01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Baton Rouge, Louisiana
us",Wyoming,"Zachary in Zachary, Louisiana",,"November 5, 1994",102,2.9,0.9,0.4,36.9,,63.5,40.6
J.R. Bremer,https://www.basketball-reference.com/players/b/bremejr01.html,"Point Guard


  
  ▪
  
  
  Shoots:
  
  Left","Position:
  
  Point Guard


  
  ▪
  
  
  
  
  Left",,,,,,"Cleveland, Ohio
us",St. Bonaventure,"Cleveland Heights in Cleveland Heights, Ohio",,"October 31, 2002",100,6.5,1.8,2.2,34.4,,74.8,44.1
Pete Brennan,https://www.basketball-reference.com/players/b/brennpe01.html,"Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Brooklyn, New York
us",UNC,"Saint Augustine in Brooklyn, New York","New York Knicks, 1st round (4th pick, 4th overall), 1958 NBA Draft","October 26, 1958",16,2.5,1.9,0.4,30.2,,56.0,
Tom Brennan,https://www.basketball-reference.com/players/b/brennto01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Brooklyn, New York
us",Villanova,,"Philadelphia Warriors, 8th round, 1952 NBA Draft","November 20, 1954",11,0.9,0.5,0.2,45.5,,-,
Randy Breuer,https://www.basketball-reference.com/players/b/breuera01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center


  
  ▪
  
  
  
  
  Right",,,,,,"Lake City, M",Minnesota,"Lincoln in Lake City, Minnesota","Milwaukee Bucks, 1st round (18th pick, 18th overall), 1983 NBA Draft","October 28, 1983",681,6.8,4.4,0.9,46.7,,62.8,46.7
Corey Brewer,https://www.basketball-reference.com/players/b/breweco01.html,"Small Forward, Shooting Guard, and Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward, Shooting Guard, and Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Portland, Tennessee
us",Florida,"Portland in Portland, Tennessee","Minnesota Timberwolves, 1st round (7th pick, 7th overall), 2007 NBA Draft","November 2, 2007",819,8.7,2.8,1.5,42.5,,71.3,46.5
Jamison Brewer,https://www.basketball-reference.com/players/b/breweja01.html,"Point Guard and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard and Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,East Po,Auburn,"Newport School in Kensington, Maryland","Indiana Pacers, 2nd round (12th pick, 41st overall), 2001 NBA Draft","November 20, 2001",54,1.6,0.9,1.0,37.2,,39.3,41.5
Jim Brewer,https://www.basketball-reference.com/players/b/breweji01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Maywood, Ill",Minnesota,"Proviso East in Maywood, Illinois","Cleveland Cavaliers, 1st round (2nd pick, 2nd overall), 1973 NBA Draft","October 12, 1973",703,5.8,6.3,1.5,44.8,,57.1,44.8
Ron Brewer,https://www.basketball-reference.com/players/b/brewero01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Fort Smith, Arkansas
us",,"Northside in Fort Smith, Arkansas","Portland Trail Blazers, 1st round (7th pick, 7th overall), 1978 NBA Draft","October 15, 1978",501,11.9,1.9,1.8,45.9,,82.4,46.2
Ronnie Brewer,https://www.basketball-reference.com/players/b/brewero02.html,"Shooting Guard and Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard and Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Portland, Oregon
us",Arkansas,"Fayetteville in Fayetteville, Arkansas","Utah Jazz, 1st round (14th pick, 14th overall), 2006 NBA Draft","November 1, 2006",502,7.8,2.8,1.6,49.0,,67.5,50.5
PrimoÅ¾ Brezec,https://www.basketball-reference.com/players/b/brezepr01.html,"Center


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center


  
  ▪
  
  
  
  
  Right",,,,,,"Postojna, Slovenia
si",,,"Indiana Pacers, 1st round (27th pick, 27th overall), 2000 NBA Draft","November 4, 2001",342,7.2,3.9,0.5,49.8,,70.1,49.8
Frankie Brian,https://www.basketball-reference.com/players/b/brianfr01.html,"Shooting Guard and Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard and Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Zachary, Louisiana
us",LSU,"Zachary in Zachary, Louisiana",,"November 3, 1949",438,12.3,2.4,2.6,34.0,,82.1,
Frank Brickowski,https://www.basketball-reference.com/players/b/brickfr01.html,"Center and Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center and Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Bayville, New York
us",Penn State,"Locust Valley in Locust Valley, New York","New York Knicks, 3rd round (11th pick, 57th overall), 1981 NBA Draft","October 26, 1984",731,10.0,4.7,1.9,51.9,,74.0,52.4
Junior Bridgeman,https://www.basketball-reference.com/players/b/bridgju01.html,"Small Forward and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward and Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"East Chicago, Indiana
us",Louisville,"Washington in East Chicago, Indiana","Los Angeles Lakers, 1st round (8th pick, 8th overall), 1975 NBA Draft","October 25, 1975",849,13.6,3.5,2.4,47.5,,84.6,47.7
