player_name,url,position,shoots,height,weight_lb,weight_kg,height_cm,birthdate,birthplace,college,high_school,draft,nba_debut,games,points,rebounds,assists,fg_percentage,fg3_percentage,ft_percentage,efg_percentage
Jerry Harkness,https://www.basketball-reference.com/players/h/harknje01.html,"Point Guard


  
  ▪
  
  
  Shoots:
  
  Left","Position:
  
  Point Guard


  
  ▪
  
  
  
  
  Left",,,,,,"New York, New York
us",Loyola Chicago,"DeWitt Clinton in Bronx, New York","Syracuse Nationals, 8th round (5th pick, 67th overall), 1962 NBA Draft, and New York Knicks, 2nd round (1st pick, 10th overall), 1963 NBA Draft","October 17, 1963 ▪ ABA Debut: October 14, 1967",86,7.2,2.7,1.8,44.0,,66.5,44.1
Skip Harlicka,https://www.basketball-reference.com/players/h/harlisk01.html,"Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,,South Carolina,"Notre Dame in Lawrence Township, New Jersey","Atlanta Hawks, 1st round (13th pick, 13th overall), 1968 NBA Draft","November 9, 1968",26,4.1,0.6,1.4,45.6,,77.4,
Jerome Harmon,https://www.basketball-reference.com/players/h/harmoje01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Gary, Indiana
us",Louisville,"Lew Wallace in Gary, Indiana",,"February 17, 1995",10,4.6,2.3,1.2,39.6,,50.0,40.6
Derek Harper,https://www.basketball-reference.com/players/h/harpede01.html,"Point Guard and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard and Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Elberton, Georgia
us",Illinois,"North Shore in West Palm Beach, Florida","Dallas Mavericks, 1st round (11th pick, 11th overall), 1983 NBA Draft","October 29, 1983",1199,13.3,2.4,5.5,46.3,,74.5,50.3
Jared Harper,https://www.basketball-reference.com/players/h/harpeja01.html,"Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Atlanta, Georgia
us",Auburn,"Pebblebrook in Mableton, Georgia",,"October 23, 2019",16,2.6,0.3,0.9,44.1,,87.5,51.5
Justin Harper,https://www.basketball-reference.com/players/h/harpeju01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Richmond, Virg",Richmond,"Meadowbrook in Chesterfield County, Virginia","Cleveland Cavaliers, 2nd round (2nd pick, 32nd overall), 2011 NBA Draft","December 26, 2011",22,2.0,0.8,0.2,34.0,,33.3,41.5
Mike Harper,https://www.basketball-reference.com/players/h/harpemi01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Chicago, Ill",North Park University,"Quigley South in Chicago, Illinois","Portland Trail Blazers, 3rd round (10th pick, 56th overall), 1980 NBA Draft","October 10, 1980",123,5.0,3.5,0.6,47.4,,55.9,47.4
Ron Harper,https://www.basketball-reference.com/players/h/harpero01.html,"Shooting Guard and Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard and Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Dayton, Ohio
us",Miami University,"Kiser in Dayton, Ohio","Cleveland Cavaliers, 1st round (8th pick, 8th overall), 1986 NBA Draft","November 1, 1986",1009,13.8,4.3,3.9,44.6,,72.0,46.8
Ron Harper Jr.,https://www.basketball-reference.com/players/h/harpero02.html,"Power Forward and Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward and Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Paterson, New Jersey
us",Rutgers University,"Don Bosco Preparatory HS in Ramsey, New Jersey",,"October 31, 2022",10,2.0,0.7,0.5,50.0,,100.0,59.4
Matt Harpring,https://www.basketball-reference.com/players/h/harprma01.html,"Small Forward and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward and Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,C,Georgia Tech,"Marist School in Atlanta, Georgia","Orlando Magic, 1st round (15th pick, 15th overall), 1998 NBA Draft","February 5, 1999",665,11.5,5.1,1.4,48.1,,75.3,49.4
Montrezl Harrell,https://www.basketball-reference.com/players/h/harremo01.html,"Center and Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center and Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Tarboro, North Carol",Louisville,,"Houston Rockets, 2nd round (2nd pick, 32nd overall), 2015 NBA Draft","October 28, 2015",515,12.1,5.0,1.3,61.9,,66.4,62.0
Josh Harrellson,https://www.basketball-reference.com/players/h/harrejo01.html,"Center and Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Center and Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"St. Charles, Missouri
us",Kentucky,"St. Charles in St. Charles, Missouri","New Orleans Hornets, 2nd round (15th pick, 45th overall), 2011 NBA Draft","December 25, 2011",75,3.5,3.0,0.3,43.8,,62.9,50.6
Adam Harrington,https://www.basketball-reference.com/players/h/harriad01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Bernardston, Massachusetts
us",,"Pioneer Valley Regional in Northfield, Massachusetts",,"November 11, 2002",19,1.6,0.4,0.6,29.7,,75.0,36.5
Al Harrington,https://www.basketball-reference.com/players/h/harrial01.html,"Power Forward, Center, and Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward, Center, and Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Orange, New Jersey
us",,"Saint Patrick in Elizabeth, New Jersey","Indiana Pacers, 1st round (25th pick, 25th overall), 1998 NBA Draft","February 5, 1999",981,13.5,5.6,1.7,44.4,,72.7,48.7
Junior Harrington,https://www.basketball-reference.com/players/h/harriju01.html,"Point Guard and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard and Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Wagram, North Carol",Wingate University,"Scotland County in Wagram, North Carolina",,"October 30, 2002",140,5.2,2.7,3.1,37.1,,68.9,38.4
Othella Harrington,https://www.basketball-reference.com/players/h/harriot01.html,"Power Forward and Center


  
  ▪
  
  
  Shoots:
  
  Left","Position:
  
  Power Forward and Center


  
  ▪
  
  
  
  
  Left",,,,,,"Jackson, Mississippi
us",Georgetown,"Murrah in Jackson, Mississippi","Houston Rockets, 2nd round (1st pick, 30th overall), 1996 NBA Draft","November 1, 1996",709,7.4,4.4,0.6,50.5,,73.8,50.5
Art Harris,https://www.basketball-reference.com/players/h/harriar01.html,"Shooting Guard and Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard and Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,,Stanford,"Jordan in Los Angeles, California","Seattle SuperSonics, 2nd round (2nd pick, 16th overall), 1968 NBA Draft","October 17, 1968",238,9.1,2.4,2.7,39.6,,62.6,
Bernie Harris,https://www.basketball-reference.com/players/h/harribe01.html,"Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Roanoke, Virg",VCU,"Northside in Roanoke, Virginia","Buffalo Braves, 4th round (9th pick, 63rd overall), 1974 NBA Draft","October 24, 1974",11,0.5,0.7,0.1,18.2,,50.0,
Billy Harris,https://www.basketball-reference.com/players/h/harribi01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Chicago, Ill",Northern Illinois,"Dunbar in Chicago, Illinois","Chicago Bulls, 7th round (12th pick, 115th overall), 1973 NBA Draft",,76,8.0,1.6,1.5,39.8,,67.7,41.0
Bob Harris,https://www.basketball-reference.com/players/h/harribo01.html,"Small Forward and Power Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward and Power Forward


  
  ▪
  
  
  
  
  Right",,,,,,L,Oklahoma State,"Battle Ground Academy in Franklin, Tennessee","Fort Wayne Pistons, 1st round (3rd pick, 3rd overall), 1949 BAA Draft","November 3, 1949",325,6.8,6.9,1.5,38.5,,62.8,
Chris Harris,https://www.basketball-reference.com/players/h/harrich01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Southampton, United K",Dayton,,,"November 5, 1955",41,2.5,1.1,1.1,24.8,,60.0,
Devin Harris,https://www.basketball-reference.com/players/h/harride01.html,"Point Guard and Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Point Guard and Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Milwaukee, Wiscons",Wisconsin,"East in Wauwatosa, Wisconsin","Washington Wizards, 1st round (5th pick, 5th overall), 2004 NBA Draft","November 2, 2004",985,10.8,2.2,3.9,43.2,,79.6,48.3
Elias Harris,https://www.basketball-reference.com/players/h/harriel01.html,"Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Speyer, Germany
de",Gonzaga,"Friedrich-Magnus-Schwerd-Gymnasium in Speyer, Germany",,"October 30, 2013",2,0.0,0.5,0.5,0.0,,-,0.0
Gary Harris,https://www.basketball-reference.com/players/h/harriga01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Fishers, Indiana
us",Michigan State,"Hamilton Southeastern in Fishers, Indiana","Chicago Bulls, 1st round (19th pick, 19th overall), 2014 NBA Draft","November 14, 2014",587,10.8,2.3,1.9,44.7,,81.2,53.2
Jalen Harris,https://www.basketball-reference.com/players/h/harrija01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Dallas, Texas
us",,"Duncanville in Duncanville, Texas","Toronto Raptors, 2nd round (29th pick, 59th overall), 2020 NBA Draft","January 8, 2021",13,7.4,1.4,1.3,50.0,,77.8,61.8
Joe Harris,https://www.basketball-reference.com/players/h/harrijo01.html,"Shooting Guard and Small Forward


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard and Small Forward


  
  ▪
  
  
  
  
  Right",,,,,,"Chelan, Wash",Virginia,"Chelan in Chelan, Washington","Cleveland Cavaliers, 2nd round (3rd pick, 33rd overall), 2014 NBA Draft","October 31, 2014",504,10.3,3.0,1.6,47.9,,77.1,60.9
Kevon Harris,https://www.basketball-reference.com/players/h/harrike01.html,"Shooting Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Ellenwood, Georgia
us",Stephen F. Austin,,,"October 21, 2022",36,4.0,2.0,0.5,44.5,,75.6,51.8
Lucious Harris,https://www.basketball-reference.com/players/h/harrilu01.html,"Shooting Guard and Point Guard


  
  ▪
  
  
  Shoots:
  
  Right","Position:
  
  Shooting Guard and Point Guard


  
  ▪
  
  
  
  
  Right",,,,,,"Los Angeles, California
us",Cal State Long Beach,"Cleveland in Los Angeles, California","Dallas Mavericks, 2nd round (1st pick, 28th overall), 1993 NBA Draft","November 5, 1993",800,7.2,2.3,1.4,42.6,,79.0,46.5
